,lyric
5,"('brrrt', 'NN')"
16,"('dabadabadeee', 'NN')"
16,"('dabadabadeee', 'JJ')"
16,"('dabadabadeee', 'JJ')"
16,"('dabadabadeee', 'NN')"
22,"('mmmmurda', 'NN')"
31,"('wooo', 'VBZ')"
33,"('yeaaaah', 'NN')"
33,"('aaaaaaahhhhhhh', 'JJ')"
38,"('brrr', 'NN')"
50,"('brrrbowbowbowbow', 'NN')"
62,"('iii', 'NN')"
93,"('pleeeeeease', 'NN')"
93,"('iahhhhhm', 'JJ')"
94,"('heyyy', 'VBP')"
94,"('haaa', 'NN')"
98,"('heeyyy', 'VB')"
98,"('gloriaaaa', 'NN')"
99,"('yeeeah', 'NN')"
115,"('outlawwwwz', 'NN')"
115,"('siiide', 'NN')"
119,"('thuuuuuuuug', 'JJ')"
121,"('pssst', 'NN')"
121,"('psssssst', 'NN')"
124,"('uhhh', 'VB')"
125,"('pleaaase', 'NN')"
143,"('gggggunit', 'NN')"
147,"('stillll', 'NN')"
151,"('gggggunit', 'NN')"
152,"('wooo', 'NN')"
156,"('ohhh', 'VBD')"
174,"('yeahhhhhh', 'JJ')"
187,"('mmmmmmmmm', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
206,"('drrrat', 'NN')"
239,"('ooohha', 'RB')"
261,"('errr', 'NN')"
267,"('hiiipower', 'NN')"
269,"('kkk', 'VBN')"
300,"('squaaaad', 'JJ')"
300,"('squaaaad', 'NN')"
300,"('squaaaad', 'JJ')"
300,"('squaaaad', 'NN')"
300,"('squaaaad', 'JJ')"
302,"('iiis', 'NN')"
310,"('yeee', 'NN')"
314,"('ccccurrency', 'NN')"
314,"('cheeeeeks', 'NN')"
316,"('hiiipower', 'JJR')"
327,"('hiiipower', 'NN')"
329,"('kkk', 'NN')"
331,"('hiiipower', 'NN')"
345,"('shhh', 'JJ')"
361,"('mmmmurda', 'NN')"
363,"('hooooood', 'NN')"
363,"('yeahhhh', 'NN')"
363,"('yeahhhh', 'NN')"
363,"('yeahhhh', 'NN')"
363,"('yeahhhh', 'NN')"
363,"('babyyy', 'NN')"
367,"('psssht', 'VBZ')"
373,"('mmm', 'NN')"
373,"('mmm', 'JJ')"
395,"('uhhh', 'JJ')"
395,"('skrrrt', 'NN')"
399,"('oooh', 'VBP')"
399,"('aaah', 'VBP')"
404,"('sloooowww', 'NN')"
404,"('dooowwwn', 'NN')"
406,"('zzzz', 'NN')"
418,"('kssssht', 'NN')"
432,"('whawwwhats', 'NNS')"
435,"('shhh', 'NN')"
437,"('ummm', 'JJ')"
438,"('oooh', 'VBP')"
439,"('ahhh', 'NN')"
439,"('mmmmmayhem', 'NN')"
443,"('bzzzzt', 'NN')"
443,"('bzzzzt', 'JJ')"
443,"('bzzzzt', 'NN')"
443,"('bzzzt', 'NN')"
443,"('bzzzt', 'NN')"
443,"('bzzzt', 'NN')"
449,"('reeeeeemix', 'NN')"
449,"('jjjjones', 'NNS')"
449,"('ffffish', 'JJ')"
449,"('sssside', 'NN')"
449,"('mmmmouth', 'NN')"
449,"('ttttales', 'NNS')"
453,"('mmmoral', 'JJ')"
457,"('purrrr', 'NN')"
459,"('oooh', 'JJ')"
459,"('oooh', 'JJ')"
459,"('ennnnnn', 'NN')"
459,"('maattttiy', 'NN')"
459,"('ennnnnn', 'NN')"
459,"('ullllttil', 'JJ')"
459,"('oottttikk', 'NN')"
485,"('yeaaaaaaa', 'NN')"
485,"('ohhhhhhhh', 'NN')"
485,"('ohhh', 'NN')"
517,"('bbbut', 'VBD')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'JJ')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'NN')"
524,"('shhh', 'NNS')"
524,"('shhh', 'RB')"
524,"('shhh', 'NN')"
534,"('oooh', 'NN')"
545,"('ooohrunrun', 'VBP')"
545,"('wwwhen', 'NN')"
545,"('wwwhen', 'NN')"
552,"('brrrrrrrrraaaaahhhhh', 'NN')"
557,"('ooooh', 'NN')"
557,"('ooooh', 'JJ')"
557,"('llllove', 'JJ')"
557,"('ooooh', 'JJ')"
557,"('llllove', 'JJ')"
558,"('rrrrum', 'NN')"
558,"('parrrumppump', 'NN')"
558,"('oooh', 'VBZ')"
558,"('ssasssoon', 'NN')"
558,"('seeeye', 'NN')"
558,"('rrrump', 'NN')"
558,"('seeeye', 'NN')"
558,"('rrrrum', 'NN')"
559,"('owww', 'VBP')"
560,"('oooooooooh', 'NN')"
567,"('brrrrrrrrbrrrrrrbrrrrrrbrrraaaat', 'NN')"
567,"('brrrrrrrrrrbrrrpbrrrpbrrrrp', 'VB')"
567,"('brrrrrrrrrrbrrrrpbrrrrpbrrrp', 'JJ')"
567,"('brrrrrrrrrrbrrrpbrrrpbrrrrp', 'VB')"
567,"('brrrrrrrrrrbrrrpbrrrpbrrrrp', 'VB')"
569,"('dddats', 'VBZ')"
